,Breed,Breed2,MixedBreed,isCat,Color,ColorPattern,Color2,ColorPattern2,AgeuponOutcome,OutcomeType,SexuponOutcome,Name
0,shetland sheepdog,,True,0,Brown,,White,,365.0,Return_to_owner,Neutered Male,True
1,domestic shorthair,,True,1,Cream,Tabby,,,365.0,Euthanasia,Spayed Female,True
2,pit bull,,True,0,Blue,,White,,730.0,Adoption,Neutered Male,True
3,domestic shorthair,,True,1,Blue,Cream,,,21.0,Transfer,Intact Male,False
4,lhasa apso,miniature poodle,False,0,Tan,,,,730.0,Transfer,Neutered Male,False
5,cairn terrier,chihuahua shorthair,False,0,Black,,Tan,,30.0,Transfer,Intact Female,True
6,domestic shorthair,,True,1,Blue,Tabby,,,21.0,Transfer,Intact Male,True
7,domestic shorthair,,True,1,Brown,Tabby,,,21.0,Transfer,Unknown,False
8,american pit bull terrier,,True,0,Red,,White,,150.0,Adoption,Spayed Female,True
9,cairn terrier,,False,0,White,,,,365.0,Adoption,Spayed Female,False
10,domestic shorthair,,True,1,Black,,,,730.0,Transfer,Unknown,False
11,miniature schnauzer,,True,0,Silver,,,,730.0,Adoption,Spayed Female,False
12,pit bull,,True,0,Brown,,,,1460.0,Adoption,Neutered Male,True
13,yorkshire terrier,,True,0,Black,,Red,,730.0,Return_to_owner,Neutered Male,True
14,great pyrenees,,True,0,White,,Cream,,365.0,Return_to_owner,Neutered Male,True
15,domestic shorthair,,True,1,Orange,Tabby,White,,90.0,Adoption,Neutered Male,True
16,domestic shorthair,,True,1,Brown,Tabby,,,21.0,Transfer,Intact Male,False
17,pit bull,,True,0,Brown,,White,,14.0,Transfer,Intact Female,False
18,angora,,True,1,White,,,,730.0,Transfer,Intact Female,True
19,flat coat retriever,,True,0,Black,,,,365.0,Return_to_owner,Neutered Male,True
20,queensland heeler,,True,0,Black,,White,,60.0,Transfer,Intact Male,True
21,domestic shorthair,,True,1,White,,,,365.0,Transfer,Spayed Female,True
